phi_deg,psi_deg,r_pitch,r_profile,alpha_deg
342.5000,0.0000,54.0000,42.0000,0.0000
343.0000,0.0000,54.0000,42.0000,0.0000
343.5000,0.0000,54.0000,42.0000,0.0000
344.0000,0.0000,54.0000,42.0000,0.0000
344.5000,0.0000,54.0000,42.0000,0.0000
345.0000,0.0000,54.0000,42.0000,0.0000
345.5000,0.0000,54.0000,42.0000,0.0000
346.0000,0.0000,54.0000,42.0000,0.0000
346.5000,0.0000,54.0000,42.0000,0.0000
347.0000,0.0000,54.0000,42.0000,0.0000
347.5000,0.0000,54.0000,42.0000,0.0000
348.0000,0.0000,54.0000,42.0000,0.0000
348.5000,0.0000,54.0000,42.0000,0.0000
349.0000,0.0000,54.0000,42.0000,0.0000
349.5000,0.0000,54.0000,42.0000,0.0000
350.0000,0.0000,54.0000,42.0000,0.0000
350.5000,0.0000,54.0000,42.0000,0.0000
351.0000,0.0000,54.0000,42.0000,0.0000
351.5000,0.0000,54.0000,42.0000,0.0000
352.0000,0.0000,54.0000,42.0000,0.0000
352.5000,0.0000,54.0000,42.0000,0.0000
353.0000,0.0000,54.0000,42.0000,0.0000
353.5000,0.0000,54.0000,42.0000,0.0000
354.0000,0.0000,54.0000,42.0000,0.0000
354.5000,0.0000,54.0000,42.0000,0.0000
355.0000,0.0000,54.0000,42.0000,0.0000
355.5000,0.0000,54.0000,42.0000,0.0000
356.0000,0.0000,54.0000,42.0000,0.0000
356.5000,0.0000,54.0000,42.0000,0.0000
357.0000,0.0000,54.0000,42.0000,0.0000
357.5000,0.0000,54.0000,42.0000,0.0000
358.0000,0.0000,54.0000,42.0000,0.0000
358.5000,0.0000,54.0000,42.0000,0.0000
359.0000,0.0000,54.0000,42.0000,0.0000
359.5000,0.0000,54.0000,42.0000,0.0000
