phi_deg,psi_deg,s_mm,v_mmps,a_mmps2
164.2,11.0043969941537,241.690601679726,-346.42022682541,750.090453121175
164.3,11.0486840621456,241.459821551011,-345.914758813729,766.291638463115
164.4,11.0929118703724,241.229382001308,-345.398504640793,782.448270431415
164.5,11.1370790953391,240.99929021149,-344.871494453154,798.559016405659
164.6,11.1811844172873,240.769553342037,-344.333759285585,814.622544012924
164.7,11.2252265202772,240.540178532443,-343.785331061136,830.63752108033
164.8,11.2692040922686,240.311172900622,-343.226242590811,846.602617279496
164.9,11.3131158252021,240.082543542322,-342.65652757143,862.516504447721
165,11.3569604150793,239.854297530527,-342.076220584881,878.377854718562
165.1,11.4007365620436,239.626441914875,-341.485357098472,894.185342655567
165.2,11.4444429704602,239.398983721063,-340.88397346134,909.93764587186
165.3,11.4880783489964,239.17192995026,-340.272106903976,925.633443440593
165.4,11.5316414107005,238.945287578524,-339.649795536753,941.271417982709
165.5,11.575130873082,238.719063556211,-339.017078346666,956.850255359703
165.6,11.6185454581902,238.493264807395,-338.373995196273,972.368643576106
165.7,11.6618838926932,238.267898229283,-337.720586821898,987.82527495414
165.8,11.7051449079565,238.042970691632,-337.056894829667,1003.21884643958
165.9,11.748327240121,237.818489036176,-336.382961693312,1018.54805836589
166,11.7914296301815,237.594460076041,-335.698830751846,1033.81161519447
166.1,11.8344508240635,237.370890595174,-335.004546206386,1049.00822624578
166.2,11.8773895727016,237.147787347766,-334.300153116852,1064.1366062982
166.3,11.9202446321156,236.925157057685,-333.585697397988,1079.19547543836
166.4,11.9630147634878,236.703006417902,-332.861225816268,1094.18355875713
166.5,12.0056987332392,236.48134208993,-332.126785986312,1109.09958683693
166.6,12.0482953131059,236.260170703254,-331.382426367152,1123.94229664984
166.7,12.0908032802143,236.039498854774,-330.628196257446,1138.71043199494
166.8,12.133221417157,235.819333108244,-329.864145791158,1153.40274285092
166.9,12.1755485120678,235.599679993719,-329.090325933644,1168.01798542605
167,12.2177833586962,235.380546006999,-328.306788477257,1182.55492363947
167.1,12.2599247564822,235.161937609082,-327.513586035459,1197.01232895523
167.2,12.3019715106302,234.943861225618,-326.71077203865,1211.38898005626
167.3,12.3439224321825,234.726323246364,-325.898400728717,1225.68366334616
167.4,12.3857763380928,234.509330024647,-325.076527154188,1239.89517326765
167.5,12.4275320512993,234.292887876825,-324.24520716436,1254.0223135427
167.6,12.4691884007973,234.077003081761,-323.404497402798,1268.06389591186
167.7,12.5107442217109,233.861681880288,-322.554455303144,1282.01874042351
167.8,12.5521983553658,233.64693047469,-321.695139082233,1295.88567728574
167.9,12.5935496493599,233.432755028179,-320.82660773343,1309.66354519663
