phi_deg,理论_x,理论_y,实际_x,实际_y,z
339.0,42.0111,109.3022,37.7059,98.1011,0
339.5,42.9633,108.9315,38.5605,97.7683,0
340.0,43.9123,108.5524,39.4122,97.4281,0
340.5,44.8579,108.1650,40.2610,97.0805,0
341.0,45.8001,107.7695,41.1066,96.7254,0
341.5,46.7388,107.3657,41.9491,96.3630,0
342.0,47.6740,106.9537,42.7884,95.9933,0
342.5,48.6055,106.5336,43.6245,95.6162,0
343.0,49.5333,106.1054,44.4572,95.2319,0
343.5,50.4574,105.6691,45.2866,94.8403,0
344.0,51.3776,105.2248,46.1125,94.4415,0
344.5,52.2939,104.7724,46.9349,94.0355,0
345.0,53.2062,104.3121,47.7537,93.6224,0
345.5,54.1144,103.8438,48.5689,93.2021,0
346.0,55.0186,103.3676,49.3804,92.7747,0
346.5,55.9185,102.8836,50.1881,92.3402,0
347.0,56.8142,102.3917,50.9920,91.8988,0
347.5,57.7056,101.8920,51.7920,91.4503,0
348.0,58.5925,101.3845,52.5881,90.9948,0
348.5,59.4750,100.8694,53.3801,90.5324,0
349.0,60.3530,100.3465,54.1681,90.0632,0
349.5,61.2264,99.8160,54.9520,89.5870,0
350.0,62.0951,99.2779,55.7317,89.1041,0
350.5,62.9591,98.7323,56.5071,88.6144,0
351.0,63.8183,98.1791,57.2783,88.1179,0
351.5,64.6726,97.6185,58.0451,87.6147,0
352.0,65.5220,97.0504,58.8074,87.1048,0
352.5,66.3664,96.4749,59.5653,86.5883,0
353.0,67.2058,95.8921,60.3187,86.0652,0
353.5,68.0401,95.3019,61.0674,85.5356,0
354.0,68.8691,94.7046,61.8115,84.9994,0
354.5,69.6929,94.1000,62.5509,84.4568,0
355.0,70.5115,93.4882,63.2856,83.9077,0
355.5,71.3246,92.8693,64.0154,83.3522,0
356.0,72.1323,92.2434,64.7403,82.7904,0
356.5,72.9345,91.6104,65.4603,82.2223,0
357.0,73.7312,90.9704,66.1753,81.6479,0
357.5,74.5222,90.3236,66.8853,81.0673,0
358.0,75.3076,89.6698,67.5902,80.4806,0
358.5,76.0873,89.0092,68.2900,79.8877,0
359.0,76.8611,88.3418,68.9845,79.2887,0
359.5,77.6291,87.6677,69.6738,78.6837,0
